# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

585	m_SymbolRenderTarget
586	m_aRenderTargets
587	Init
588	ReturnValue
589	nIndex
590	GetRenderTarget
591	APBStudioHelper
592	Default__APBStudioHelper
593	GolemobileBase
594	Default__GolemobileBase
595	Time
596	bStaticPose
597	AnimSeqName
598	GolemProjectionPose
599	nOriginalIndex
600	nUIPriority
601	pTexture
602	bGrayscale
603	GolemMakeUpData
604	GolemBase
605	Default__GolemBase
606	aPartTypes
607	aCommonPartTypes
608	MorphSets
609	aParts
610	StudioAnimSets
611	MorphSets
612	aSegmentationData
613	SkinTones
614	FrecklesMap
615	AgeMarks
616	BodyHair
617	MolesMap
618	Scars
619	Tattoos
620	ProjectionAreas
621	ProjectionPoses
622	MuscleNormalMap
623	VeinsNormalMap
624	SkinnyNormalMap
625	WrinklesNormalMap
626	aEyeLidShapes
627	aEyePupils
628	aEyeIris
629	aLipDetail
630	aChinDetail
631	aForeheadDetail
632	aCheeksDetail
633	aEyebrows
634	aEyeShadow
635	aEyeLiner
636	aLipstick
637	aBlusher
638	aNailVarnish
639	aBodyPaint
640	aFacePaint
641	aGreyscaleEyeShadow
642	aGreyscaleEyeLiner
643	aGreyscaleLipstick
644	aGreyscaleBlusher
645	aGreyscaleNailVarnish
646	aGreyscaleBodyPaint
647	aGreyscaleFacePaint
648	aDataEyeShadow
649	aDataEyeLiner
650	aDataLipstick
651	aDataBlusher
652	aDataNailVarnish
653	aDataBodyPaint
654	aDataFacePaint
655	aShapes
656	aHairFittingMorphTargets
657	aTextureBlocks
658	aTextureBlocks
659	aHairFittingMorphTargets
660	DeltaSpecularLightness2
661	DeltaSpecularLightness1
662	DefaultBaseColor
663	aShapes
664	aDataFacePaint
665	aDataBodyPaint
666	aDataNailVarnish
667	aDataBlusher
668	aDataLipstick
669	aDataEyeLiner
670	aDataEyeShadow
671	aGreyscaleFacePaint
672	aGreyscaleBodyPaint
673	aGreyscaleNailVarnish
674	aGreyscaleBlusher
675	aGreyscaleLipstick
676	aGreyscaleEyeLiner
677	aGreyscaleEyeShadow
678	aFacePaint
679	aBodyPaint
680	aNailVarnish
681	aBlusher
682	aLipstick
683	aEyeLiner
684	aEyeShadow
685	aEyebrows
686	aCheeksDetail
687	aForeheadDetail
688	aChinDetail
689	aLipDetail
690	aEyeIris
691	aEyePupils
692	aEyeLidShapes
693	WrinklesNormalMap
694	SkinnyNormalMap
695	VeinsNormalMap
696	MuscleNormalMap
697	BaseNormalMap
698	ProjectionPoses
699	ProjectionAreas
700	Tattoos
701	Scars
702	MolesMap
703	BodyHair
704	AgeMarks
705	FrecklesMap
706	Pigmentation2
707	Pigmentation1
708	SkinToneMask
709	SkinTones
710	nMaxTextureDivisor
711	nTextureDivisor
712	aSegmentationData
713	<NULL>
714	MorphSets
715	SocialAnimSetupName
716	AnimSetupName
717	StudioAnimSets
718	StudioAnimTree
719	<NULL>
720	SkeletalMesh
721	ItemRestrictionTree
722	aParts
723	UserName
724	Id
725	bLoaded
726	bEnabled
727	sGolemPartName
728	sName
729	GolemPartExternalData
730	aSegmentNames
731	aSegmentMap
732	aSegmentPerFace
733	aChunkPerFace
734	aChunkPerFace
735	aSegmentPerFace
